iter	MultiClass
0	1.061941737
1	0.8900264685
2	0.7349354274
3	0.6058283844
4	0.5134924522
5	0.4241067696
6	0.3866089217
7	0.357420776
8	0.3309426055
9	0.3049065331
10	0.2820524052
11	0.2593613282
12	0.2381871215
13	0.2289519393
14	0.2153627662
15	0.2054808787
16	0.1915726745
17	0.1740109725
18	0.1565571442
19	0.1472579659
20	0.137553171
21	0.131774338
22	0.1234913012
23	0.1175662941
24	0.1112925219
25	0.1095042862
26	0.1034418174
27	0.099823931
28	0.09522207811
29	0.09187629993
30	0.0891854629
31	0.08755211802
32	0.08514775448
33	0.08248120268
34	0.08011358881
35	0.07738555052
36	0.07286456644
37	0.06783527787
38	0.06574863085
39	0.06381220013
40	0.06035512595
41	0.05854650582
42	0.05672937172
43	0.05474191156
44	0.05250528205
45	0.0514302889
46	0.04968714603
47	0.04871961361
48	0.04653248629
49	0.04588319234
50	0.04490066249
51	0.04425993112
52	0.04201416153
53	0.0409331087
54	0.03905422754
55	0.03822133532
56	0.03770595329
57	0.03646377619
58	0.03521213739
59	0.03422727277
60	0.03368572675
61	0.03318337172
62	0.03211438409
63	0.03168652721
64	0.03055993584
65	0.02971638911
66	0.02909636588
67	0.02887080353
68	0.02790650712
69	0.02740283883
70	0.02663395925
71	0.02547222476
72	0.02501371967
73	0.02434059676
74	0.02381424015
75	0.02331809439
76	0.02268665412
77	0.02245514459
78	0.02177281058
79	0.02144266819
80	0.02113598492
81	0.02052489036
82	0.02038183866
83	0.02025596742
84	0.02001353595
85	0.01959132151
86	0.01924113984
87	0.01891236393
88	0.01838943373
89	0.01815316911
90	0.01788930914
91	0.01769091815
92	0.01714856672
93	0.01690651275
94	0.01676651651
95	0.01613754908
96	0.01589524857
97	0.01569283531
98	0.0153662132
99	0.01522006438
