Run_Name,Actual,Predicted,MSE,Confidence
2901,Normal,He Chuck,0.27816528,0.686350842092284
2901,Normal,Cl2 -5,0.27905586,0.5499887701333694
2901,Normal,He Chuck,0.23292111,0.9709686622545347
2901,Normal,He Chuck,0.28563958,0.9830500788982981
2901,Normal,Normal,0.28521818,0.631670799758083
2901,Normal,Normal,0.27297768,0.7640905094801296
2901,Normal,Normal,0.26305225,0.8748620237422583
2901,Normal,Normal,0.30071285,0.8575353720725244
2901,Normal,Normal,0.23544821,0.9103701917886495
2901,Normal,Normal,0.3467612,0.6773653340682176
2901,Normal,Normal,0.2750141,0.8070908945246877
2901,Normal,Normal,0.24716829,0.9251498458913774
2901,Normal,Normal,0.32406232,0.7557386304026745
2901,Normal,Normal,0.22035597,0.8716588273552214
2901,Normal,Normal,0.22732967,0.6706231217023937
2901,Normal,Normal,0.3564116,0.5481301684665528
2901,Normal,He Chuck,0.54954666,0.589850321644397
2901,Normal,He Chuck,0.6900068,0.730014810911455
2901,Normal,Normal,0.7950579,0.7971798321633632
2901,Normal,Normal,0.7598257,0.6781564179771319
2901,Normal,Normal,0.8505949,0.42559067589528776
2901,Normal,UNKNOWN FAULT,0.9523666,0.8687454231053117
2901,Normal,Normal,0.52110994,0.8848252700759303
2901,Normal,Normal,0.45378035,0.4790618434057626
2901,Normal,Normal,0.33802718,0.8758857003287045
2901,Normal,Normal,0.38850787,0.8481873242591526
2901,Normal,Normal,0.44869155,0.6849520251366594
2901,Normal,He Chuck,0.36382052,0.49895293972464677
2901,Normal,Normal,0.38350192,0.643508828819355
2901,Normal,Normal,0.38006234,0.5273558401142249
2901,Normal,Normal,0.3937689,0.5872061245432854
2901,Normal,He Chuck,0.4206629,0.524919899289099
2901,Normal,He Chuck,0.38075536,0.49612385388188573
2901,Normal,Normal,0.3701492,0.7885335358843468
2901,Normal,Normal,0.38163397,0.6060837019244922
2901,Normal,He Chuck,0.46232146,0.9997865033998089
2903,Normal,Normal,0.23030671,0.9088797577025726
2903,Normal,He Chuck,0.31453642,0.9085415683991169
2903,Normal,Normal,0.24794699,0.9136754818774762
2903,Normal,Normal,0.31727162,0.9549720400377572
2903,Normal,Normal,0.2913976,0.9102800439403755
2903,Normal,Normal,0.25576758,0.6536958549376028
2903,Normal,Normal,0.29427302,0.6842700303459897
2903,Normal,Normal,0.29604384,0.9729164044104209
2903,Normal,Normal,0.26194298,0.8412128066084367
2903,Normal,Normal,0.36937976,0.9801345406125517
2903,Normal,Normal,0.27477428,0.9196176384863064
2903,Normal,Normal,0.29625395,0.8126955288619738
2903,Normal,Normal,0.26553378,0.9724553182516252
2903,Normal,Normal,0.1978346,0.8833058960310424
2903,Normal,Normal,0.2574807,0.833383908436488
2903,Normal,Normal,0.37585345,0.6050115469246995
2903,Normal,He Chuck,0.52321184,0.843905361694769
2903,Normal,He Chuck,0.6943008,0.6783897574339852
2903,Normal,Normal,0.7188941,0.6271844138378
2903,Normal,He Chuck,0.6286403,0.7234402447959513
2903,Normal,Normal,0.57142866,0.3758575108199877
2903,Normal,He Chuck,0.79117185,0.5755484652268844
2903,Normal,He Chuck,0.73249704,0.6637354934137093
2903,Normal,He Chuck,0.5355513,0.8652693749313362
2903,Normal,Cl2 -5,0.46340445,0.960758893613216
2903,Normal,Normal,0.52409613,0.6268078818198293
2903,Normal,Normal,0.41575155,0.9129330579452519
2903,Normal,Normal,0.40020356,0.5396110279657681
2903,Normal,He Chuck,0.40129298,0.5372896823355907
2903,Normal,Normal,0.40384316,0.8517531800268879
2903,Normal,Normal,0.41841707,0.7967516061039049
2903,Normal,He Chuck,0.44619393,0.5114671771111824
2903,Normal,Normal,0.3969167,0.7943652935723682
2903,Normal,Normal,0.14665104,0.5815082839201438
2903,Normal,Normal,0.4406707,0.5944616908248491
2903,Normal,Normal,0.42807728,0.5488503625105716
2903,Normal,Normal,0.43627295,0.49305774980146977
2903,Normal,Normal,0.51282746,0.518524978487088
2904,Normal,Normal,0.273915,0.9391407362849109
2904,Normal,Normal,0.28835243,0.9379812142730583
2904,Normal,Normal,0.2786173,0.951095023828263
2904,Normal,Normal,0.25841627,0.9652994781947337
2904,Normal,Normal,0.2727703,0.9671220073106651
2904,Normal,Normal,0.29244918,0.964369945379306
2904,Normal,Normal,0.296097,0.9154581462456721
2904,Normal,Normal,0.29641157,0.984192399947908
2904,Normal,Normal,0.28346,0.8220047261455565
2904,Normal,Normal,0.3185812,0.9287337741413588
2904,Normal,Normal,0.26921934,0.973172369792913
2904,Normal,Normal,0.27122566,0.9243038879954643
2904,Normal,Normal,0.26341602,0.9257240293469928
2904,Normal,Normal,0.1971409,0.9450489945254713
2904,Normal,Normal,0.37731057,0.9711993522697874
2904,Normal,Normal,0.4360286,0.4728511196298682
2904,Normal,Normal,0.5522643,0.5408246647754156
2904,Normal,Normal,0.7482226,0.5459202849814438
2904,Normal,Normal,0.6408443,0.7299689754840446
2904,Normal,Normal,0.56727856,0.8491007060265559
2904,Normal,Normal,0.5570716,0.7207480402536215
2904,Normal,He Chuck,0.7951367,0.8070882313130215
2904,Normal,He Chuck,0.8029396,0.7657522664461495
2904,Normal,He Chuck,0.49310583,0.6244930054523352
2904,Normal,Normal,0.50588346,0.9003485943482422
2904,Normal,Normal,0.37826276,0.6358572774998485
2904,Normal,Normal,0.38344696,0.7623687822763316
2904,Normal,Normal,0.449796,0.7549566693698775
2904,Normal,Normal,0.47490126,0.9740695774061316
2904,Normal,Normal,0.41479278,0.9523550286508353
2904,Normal,Normal,0.39323953,0.724787977595285
2904,Normal,Normal,0.44680297,0.7609419446835474
2904,Normal,Normal,0.40930143,0.8414961948712381
2904,Normal,Normal,0.42349842,0.5544552032453672
2904,Normal,Normal,0.45025274,0.8917760542699739
2904,Normal,Normal,0.46883264,0.8472010399863702
2904,Normal,Normal,0.47285378,0.9133921964977622
2904,Normal,He Chuck,0.4744139,0.6436731394941823
2905,Normal,Normal,0.19415992,0.9379766503450138
2905,Normal,Normal,0.2744495,0.9544541496372897
2905,Normal,Normal,0.3293337,0.9531955616862972
2905,Normal,Normal,0.31401566,0.9766371804514719
2905,Normal,Normal,0.3553252,0.9624891306748835
2905,Normal,Normal,0.28102115,0.9773893122139047
2905,Normal,Normal,0.24974836,0.9813147671829909
2905,Normal,Normal,0.32469976,0.973866268629637
2905,Normal,Normal,0.33026406,0.8284906993074366
2905,Normal,Normal,0.3731596,0.8867052394005727
2905,Normal,Normal,0.3788834,0.925029740528012
2905,Normal,Normal,0.30739895,0.8908017236760792
2905,Normal,Normal,0.2541703,0.9232584406409935
2905,Normal,Normal,0.2017803,0.9168853272606753
2905,Normal,Normal,0.25213006,0.6037170007182402
2905,Normal,Normal,0.40450782,0.9111559127237885
2905,Normal,He Chuck,0.71698725,0.8846479036517403
2905,Normal,Normal,0.6375538,0.8075015429084625
2905,Normal,He Chuck,0.66890186,0.6546514808930928
2905,Normal,Normal,0.53474504,0.5365495592687134
2905,Normal,Normal,0.5199104,0.49010659915635535
2905,Normal,He Chuck,0.7325553,0.5161032951602338
2905,Normal,Normal,0.7762892,0.8436670508373287
2905,Normal,Normal,0.89523757,0.899527215990728
2905,Normal,Normal,0.48814243,0.8628147884125267
2905,Normal,Normal,0.44123918,0.9383582187456866
2905,Normal,Normal,0.4200148,0.8485340539961744
2905,Normal,Normal,0.518361,0.8268761948292045
2905,Normal,Normal,0.4683013,0.8058830460626707
